2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8637 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8767 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-14 11:40:21.8767 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
