2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4175 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.4744 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
